<MP-CMI-NE>dis int des
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
Interface                     PHY     Protocol Description                     
GE5/1/7(10G)                  up      up       MME-4302-31_link1_0/3/0_WDM     
GE5/1/8(10G)                  *down   down                                     
GE5/1/9(10G)                  *down   down                                     
GE5/1/10(10G)                 *down   down                                     
GE5/1/11(10G)                 *down   down                                     
GE6/0/0(10G)                  up      up       MME-4201-32(LPN)_link2_0/5/0_WDM
GE6/0/1(10G)                  up      up       MME-4201-32(LPN)_link4_0/5/1_WDM
GE6/0/2(10G)                  up      up       MME-4280-20(LPN)_link2_0/5/0_OFC
GE6/0/3(10G)                  up      up       MME-4280-20(LPN)_link4_0/5/1_OFC
GE6/0/4(10G)                  up      up       MME-4004-31(CMI)_link2_0/5/7_OFC
GE6/0/5(10G)                  *down   down                                     
GE6/0/6(10G)                  up      up       MME-4004-31(CMI)_link5_0/6/8_WDM
GE6/0/7(10G)                  up      up       MME-4004-31(CMI)_link7_0/6/9_WDM
GE6/0/8(10G)                  *down   down                                     
GE6/0/9(10G)                  *down   down                                     
GE6/0/10(10G)                 *down   down                                     
GE6/0/11(10G)                 *down   down                                     
GE6/1/0(10G)                  up      up       BS-CMIBS07(LPN)_link6_4/0/1_PC  
GE6/1/1(10G)                  up      up       BS-CMIBS07(LPN)_link7_4/1/0_PC  
GE6/1/2(10G)                  up      up       BS-CMIBS07(LPN)_link8_4/1/1_PC  
GE6/1/3(10G)                  *down   down                                     
GE6/1/4(10G)                  *down   down                                     
GE6/1/5(10G)                  *down   down                                     
GE6/1/6(10G)                  up      up       MME-4017-31_link2_0/5/0_WDM     
GE6/1/7(10G)                  up      up       MME-4302-31_link2_0/5/0_WDM     
GE6/1/8(10G)                  *down   down                                     
GE6/1/9(10G)                  *down   down                                     
GE6/1/10(10G)                 *down   down                                     
GE6/1/11(10G)                 *down   down                                     
Loop0                         up      up(s)                                    
Loop6                         up      up(s)    For BRAS                        
NULL0                         up      up(s)                                    
VE4/0/0                       up      down     VIR-L3-CMI2&LPN                 
VE4/0/0.1                     up      up       INTERNAL-HUBSPOKE-SPOKE-1002-IPTV-VOD-CMI
VE4/0/0.2                     down    down     INTERNAL-HUBSPOKE-SPOKE-1002-IPTV-VOD-LPN
VE4/0/0.3                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-REPEATER-CMI2
VE4/0/0.4                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MME-LPN_1
VE4/0/0.5                     down    down     INTERNAL-HUBSPOKE-SPOKE-1005-MME-MHN
VE4/0/0.6                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-LPN-1
VE4/0/0.7                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-IP-DSLAM
VE4/0/0.8                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-IP-DSLAM-4001-38-2
VE4/0/0.9                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-IP-DSLAM-4001-38-3
VE4/0/0.10                    down    down     INTERNAL-HUBSPOKE-SPOKE-1005-MNG
VE4/0/0.11                    down    down     INTERNAL-HUBSPOKE-SPOKE-1005-MNG-0014
VE4/0/0.12                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-GW-VOICE-CMI-MAHIDOL
VE4/0/0.13                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500003
VE4/0/0.14                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500005
VE4/0/0.15                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-GW-VoADSL-CMI
VE4/0/0.16                    up      up       INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI3
VE4/0/0.17                    up      up       INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-LPN
VE4/0/0.18                    down    down     INTERNAL-HUBSPOKE-SPOKE-1015-SW-MNS-TRANSPORT
