<MP-CMI-NE>dis int des
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
Interface                     PHY     Protocol Description                     
VE16/0/0.3721                 up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPVI500245
VE16/0/0.3722                 up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050006
VE16/0/0.3723                 up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050017
VE16/0/0.3724                 up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050018
VE16/0/0.3725                 up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050044
VE16/0/0.3726                 down    down     EXTERNAL-FULLMESH-SPOKE-600533-IPV2050043
VE16/0/0.3727                 up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050009
VE16/0/0.3728                 up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050014
VE16/0/0.3729                 up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050026
VE16/0/0.3730                 up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050002
VE16/0/0.3731                 up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1491234
VE16/0/0.3732                 up      up       EXTERNAL-FULLMESH-SPOKE-600375-IPV0500451
VE16/0/0.3733                 up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1261053
VE16/0/0.3736                 up      up       EXTERNAL-FULLMESH-SPOKE-600367-IPV1800055
VE16/0/0.3738                 up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1261142
VE16/0/0.3739                 up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1261156
VE16/0/1                      up      down     VIR-L2-CMI1&3                   
VE16/0/1.1                    up      up       INTERNAL-HUBSPOKE-SPOKE-1005-GW-MNG-DSLAM-FANG
VE16/0/1.2                    up      up       INTERNAL-HUBSPOKE-SPOKE-1005-GW_TEMP_4001-36
VE16/0/1.3                    up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-2
VE16/0/1.4                    up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-3
VE16/0/1.5                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-GW-VOICE-CMI1
VE16/0/1.6                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD-TTTBB-CMI1
VE16/0/1.8                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-VoADSL-CMI2
VE16/0/1.9                    up      up       INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI1
VE16/0/1.10                   up      up       INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI2
VE16/0/1.11                   up      up       INTERNAL-FULLMESH-SPOKE-1035-GW-CMI1
VE16/0/1.12                   up      up       INTERNAL-FULLMESH-SPOKE-1035-GW-CMI1-2
VE16/0/1.16                   up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500057
VE16/0/1.17                   up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500058
VE16/0/1.18                   up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500073
VE16/0/1.19                   up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500074
VE16/0/1.20                   up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-MANAGEMENT-CMI-1
VE16/0/1.21                   up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-MEDIA-CMI-1
VE16/0/1.23                   up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-SIGNALING-CMI-1
VE16/0/1.25                   up      up       INTERNAL-HUBSPOKE-SPOKE-1082-RECTIFIER_CMI1
VE16/0/1.26                   up      up       INTERNAL-HUBSPOKE-SPOKE-1084-OLT-CMI
VE16/0/1.27                   up      up       INTERNAL-HUBSPOKE-SPOKE-1084-OSU-CMI
VE16/0/1.28                   up      up       INTERNAL-HUBSPOKE-SPOKE-1084-OTDR-CMI
VE16/0/1.29                   up      up       INTERNAL-HUBSPOKE-SPOKE-1086-MNG-AP-CMI1
VE16/0/1.30                   up      up       INTERNAL-HUBSPOKE-SPOKE-1086-MNG-AP-CMI2
VE16/0/1.31                   up      up       INTERNAL-FULLMESH-SPOKE-2020-CMI-Contact-Center
VE16/0/1.33                   up      up       INTERNAL-FULLMESH-SPOKE-2020-OPMC-CMI-IPVI500001
VE16/0/1.34                   up      up       EXTERNAL-FULLMESH-SPOKE-600302-IPV0500362
VE16/0/1.35                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151105
VE16/0/1.36                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151105
VE16/0/1.37                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500006
VE16/0/1.38                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500014
VE16/0/1.39                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500028
VE16/0/1.40                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500032
VE16/0/1.41                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151107
VE16/0/1.42                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500119
VE16/0/1.44                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500435
VE16/0/1.45                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500051
VE16/0/1.46                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500068
VE16/0/1.47                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500028
VE16/0/1.48                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500058
VE16/0/1.49                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500549
VE16/0/1.51                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151107
VE16/0/1.52                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500074
VE16/0/1.53                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151108
VE16/0/1.54                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500094
VE16/0/1.55                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500095
VE16/0/1.58                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500104
VE16/0/1.60                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500108
VE16/0/1.61                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500109
VE16/0/1.62                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151108
VE16/0/1.63                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500115
VE16/0/1.64                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500206
VE16/0/1.65                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLB500001
VE16/0/1.66                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151109
VE16/0/1.67                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151109
VE16/0/1.68                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500011
VE16/0/1.69                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151110
VE16/0/1.70                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500152(VIP)
VE16/0/1.71                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500024
VE16/0/1.72                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500027
VE16/0/1.73                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500026
VE16/0/1.74                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151110
VE16/0/1.75                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151113
VE16/0/1.76                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500005
VE16/0/1.78                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB500177
VE16/0/1.79                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500024
VE16/0/1.80                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500435
VE16/0/1.81                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151113
VE16/0/1.83                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151115
VE16/0/1.84                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151115
VE16/0/1.87                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500085
VE16/0/1.88                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151116
VE16/0/1.90                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151116
VE16/0/1.91                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500205
VE16/0/1.92                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151124
VE16/0/1.93                   up      up       EXTERNAL-FULLMESH-SPOKE-600147-IPV0500179
VE16/0/1.94                   up      up       EXTERNAL-FULLMESH-SPOKE-600147-IPV0500189
VE16/0/1.95                   up      up       EXTERNAL-FULLMESH-SPOKE-600155-IPV0500515
VE16/0/1.97                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500550
VE16/0/1.99                   up      up       EXTERNAL-FULLMESH-SPOKE-610047-IPV0500216
VE16/0/1.100                  up      up       INTERNAL-HUBSPOKE-SPOKE-1002-IPTV-VOD-CMI1
VE16/0/1.102                  up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-ME-CMI1_V2
VE16/0/1.106                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151124
VE16/0/1.107                  up      up       INTERNAL-HUBSPOKE-SPOKE-IPTV-VIP-INL0500152
VE16/0/1.109                  up      up       INTERNAL-FULLMESH-SPOKE-1085-MNG-TDM-OVER-IP
VE16/0/1.110                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151125
VE16/0/1.112                  up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500007
VE16/0/1.113                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151125
VE16/0/1.114                  up      up       EXTERNAL-FULLMESH-SPOKE-600237-IPV0500317
VE16/0/1.115                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151130
VE16/0/1.116                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151130
VE16/0/1.117                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500480
VE16/0/1.121                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151132
VE16/0/1.129                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500143
VE16/0/1.130                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151132
VE16/0/1.132                  up      up       EXTERNAL-FULLMESH-SPOKE-600144-IPV0500345
VE16/0/1.133                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500147
VE16/0/1.138                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500042
VE16/0/1.139                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500043
VE16/0/1.140                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500206
VE16/0/1.143                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500136
VE16/0/1.144                  up      up       DPA-CMI1-ITVI500006             
VE16/0/1.145                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500044
VE16/0/1.146                  up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500133
VE16/0/1.147                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500153
VE16/0/1.149                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500436
VE16/0/1.151                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500157
VE16/0/1.153                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500165
VE16/0/1.156                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500330
VE16/0/1.157                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500170
VE16/0/1.160                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500172
VE16/0/1.161                  up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500008
VE16/0/1.162                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB500058
VE16/0/1.166                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500177
VE16/0/1.169                  up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-4001-34&36-4
VE16/0/1.170                  up      up       EXTERNAL-FULLMESH-SPOKE-610066-IPV1590002
VE16/0/1.172                  up      up       EXTERNAL-FULLMESH-SPOKE-600549-IPV2100117
VE16/0/1.173                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500186
VE16/0/1.174                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500187
VE16/0/1.175                  up      up       EXTERNAL-FULLMESH-SPOKE-610052-IPV0500225
VE16/0/1.176                  up      up       EXTERNAL-FULLMESH-SPOKE-610052-IPV0500224
VE16/0/1.178                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500075
VE16/0/1.179                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500199
VE16/0/1.180                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500303
VE16/0/1.181                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500068
VE16/0/1.182                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500194
VE16/0/1.183                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420111
VE16/0/1.184                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150384
VE16/0/1.185                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150958
VE16/0/1.186                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB500330
VE16/0/1.187                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420088
VE16/0/1.188                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500198
VE16/0/1.193                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151118
VE16/0/1.194                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151118
VE16/0/1.195                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150535
VE16/0/1.196                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150535
VE16/0/1.197                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500549
VE16/0/1.198                  up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-CMI
VE16/0/1.199                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420208
VE16/0/1.200                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420211
VE16/0/1.201                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420212
VE16/0/1.203                  up      up       EXTERNAL-FULLMESH-SPOKE-600357-IPV0500414
VE16/0/1.204                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150590
VE16/0/1.205                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150590
VE16/0/1.208                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500192
VE16/0/1.209                  up      up       EXTERNAL-FULLMESH-SPOKE-600357-IPVB0500414
VE16/0/1.210                  up      up       EXTERNAL-FULLMESH-SPOKE-600366-IPV1790002
VE16/0/1.211                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150958
VE16/0/1.212                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150384
VE16/0/1.213                  up      up       EXTERNAL-FULLMESH-SPOKE-600375-IPV0500422
VE16/0/1.214                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420302
VE16/0/1.215                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420314
VE16/0/1.216                  up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420332
VE16/0/1.217                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500208
VE16/0/1.218                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500208
VE16/0/1.219                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500210
VE16/0/1.221                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500213
VE16/0/1.224                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500165
VE16/0/1.225                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500217
VE16/0/1.226                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2600013
VE16/0/1.227                  up      up       EXTERNAL-FULLMESH-SPOKE-LL-INTER-INL2600014
VE16/0/1.228                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500220
VE16/0/1.230                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670005
VE16/0/1.231                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670001
VE16/0/1.233                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500143
VE16/0/1.234                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500051
VE16/0/1.236                  up      up       EXTERNAL-FULLMESH-SPOKE-610047-IPVB0500216
VE16/0/1.238                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500045
VE16/0/1.239                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19903657
VE16/0/1.240                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19904326
VE16/0/1.241                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19904327
VE16/0/1.242                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19904769
VE16/0/1.243                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19908282
VE16/0/1.251                  up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500224
VE16/0/1.252                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500229
VE16/0/1.253                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500443
VE16/0/1.254                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050001
VE16/0/1.255                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPVB2050001
VE16/0/1.256                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2050001
VE16/0/1.257                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB2050001
VE16/0/1.258                  up      up       EXTERNAL-FULLMESH-SPOKE-600362-IPV0500444
VE16/0/1.259                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2670001
VE16/0/1.260                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670002
VE16/0/1.261                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670004
VE16/0/1.262                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670006
VE16/0/1.263                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670013
VE16/0/1.264                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670014
VE16/0/1.265                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670016
VE16/0/1.266                  up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670015
VE16/0/1.267                  up      up       EXTERNAL-FULLMESH-SPOKE-600544-IPV2670008
VE16/0/1.268                  up      up       EXTERNAL-FULLMESH-SPOKE-600544-IPV2670007
VE16/0/1.269                  up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD2050001
VE16/0/1.270                  up      up       EXTERNAL-FULLMESH-SPOKE-600543-IPV0500449
VE16/0/1.271                  up      up       EXTERNAL-FULLMESH-SPOKE-600544-IPV2670003
VE16/0/1.272                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500024
VE16/0/1.273                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500233
VE16/0/1.274                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500233
VE16/0/1.275                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500104
VE16/0/1.276                  up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-ME-FTTx-0054
VE16/0/1.280                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500232
VE16/0/1.284                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500422
VE16/0/1.285                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500235
VE16/0/1.286                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500237
VE16/0/1.287                  up      up       EXTERNAL-FULLMESH-SPOKE-1014-IAD0500220
VE16/0/1.288                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500239
VE16/0/1.289                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500026
VE16/0/1.290                  up      up       EXTERNAL-FULLMESH-SPOKE-600556-IPV2140008
VE16/0/1.291                  up      up       EXTERNAL-FULLMESH-SPOKE-600556-IPV2140015
VE16/0/1.292                  up      up       EXTERNAL-FULLMESH-SPOKE-600556-IPV2140029
VE16/0/1.294                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500210
VE16/0/1.295                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150845
VE16/0/1.296                  up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150845
VE16/0/1.297                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500451
VE16/0/1.298                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500451
VE16/0/1.299                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500241
VE16/0/1.300                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500241
VE16/0/1.301                  up      up       EXTERNAL-FULLMESH-SPOKE-600335-IPV1630074
VE16/0/1.303                  up      up       EXTERNAL-FULLMESH-SPOKE-600335-IPV1630071
VE16/0/1.304                  up      up       EXTERNAL-FULLMESH-SPOKE-600565-IPV0500458
VE16/0/1.305                  up      up       EXTERNAL-FULLMESH-SPOKE-600566-IPV2230005
VE16/0/1.306                  up      up       EXTERNAL-FULLMESH-SPOKE-600566-IPV2230006
VE16/0/1.307                  up      up       EXTERNAL-FULLMESH-SPOKE-600566-IPVB2230006
VE16/0/1.308                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500187
VE16/0/1.310                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IPV2250002
VE16/0/1.311                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IPV2250003
VE16/0/1.312                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IAD2250001
VE16/0/1.313                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IAD2250002
VE16/0/1.314                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IAD2250003
VE16/0/1.315                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IAD2250005
VE16/0/1.316                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IAD2250006
VE16/0/1.317                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IPV2250001
VE16/0/1.318                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IPV2250005
VE16/0/1.320                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2250001
VE16/0/1.321                  up      up       EXTERNAL-FULLMESH-SPOKE-610052-IPVB0500225
VE16/0/1.323                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600575-IPV0500460
VE16/0/1.324                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2600023
VE16/0/1.325                  up      up       EXTERNAL-FULLMESH-SPOKE-LL-INTER-INL2600024
VE16/0/1.326                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2600021
VE16/0/1.327                  up      up       EXTERNAL-FULLMESH-SPOKE-LL-INTER-INL2600022
VE16/0/1.328                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500245
VE16/0/1.329                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500247
VE16/0/1.331                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500247
VE16/0/1.332                  up      up       EXTERNAL-FULLMESH-SPOKE-600584-IPV0500463
VE16/0/1.333                  up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500079
VE16/0/1.335                  up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500241
VE16/0/1.336                  up      up       EXTERNAL-FULLMESH-SPOKE-600300-IPV1430178
VE16/0/1.337                  up      up       EXTERNAL-FULLMESH-SPOKE-600584-IPV0500465
VE16/0/1.338                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2340001
VE16/0/1.339                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB2340001
VE16/0/1.340                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500245
VE16/0/1.341                  up      up       EXTERNAL-FULLMESH-SPOKE-600592-IPV1400015
VE16/0/1.342                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600575-IPVB0500460
VE16/0/1.343                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500252
VE16/0/1.344                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLC0500241
VE16/0/1.345                  up      up       EXTERNAL-FULLMESH-SPOKE-600612-SIT2340001
VE16/0/1.346                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLC0500165
VE16/0/1.347                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IPV2250007
VE16/0/1.348                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500274
VE16/0/1.349                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500237
VE16/0/1.351                  up      up       EXTERNAL-FULLMESH-SPOKE-600237-IPV2510002
VE16/0/1.352                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IAD2250007
VE16/0/1.353                  up      up       EXTERNAL-FULLMESH-SPOKE-600612-SITB2340001
VE16/0/1.354                  up      up       EXTERNAL-FULLMESH-SPOKE-600639-BIPV0500487
VE16/0/1.355                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500273
VE16/0/1.356                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500273
VE16/0/1.357                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500502
VE16/0/1.358                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500503
VE16/0/1.359                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500074
VE16/0/1.360                  up      up       EXTERNAL-FULLMESH-SPOKE-600568-IPV2250009
VE16/0/1.361                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500516
VE16/0/1.362                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500516
